Date,BTC,DXY,Gold,SP500,Yield_10Y,VIX
2023-11-27,37254.16796875,103.19999694824219,2011.800048828125,4550.43017578125,4.388999938964844,12.6899995803833
2023-11-28,37831.0859375,102.75,2039.699951171875,4554.89013671875,4.335999965667725,12.6899995803833
2023-11-29,37858.4921875,102.7699966430664,2047.0999755859375,4550.580078125,4.270999908447266,12.979999542236328
2023-11-30,37712.74609375,103.5,2038.0999755859375,4567.7998046875,4.3520002365112305,12.920000076293945
2023-12-01,38688.75,103.2699966430664,2071.0,4594.6298828125,4.22599983215332,12.630000114440918
2023-12-02,39476.33203125,,,,,
2023-12-03,39978.390625,,,,,
2023-12-04,41980.09765625,103.63999938964844,2024.0999755859375,4569.77978515625,4.288000106811523,13.079999923706055
2023-12-05,44080.6484375,104.05000305175781,2018.5,4567.18017578125,4.171000003814697,12.850000381469727
2023-12-06,43746.4453125,104.1500015258789,2030.5,4549.33984375,4.120999813079834,12.970000267028809
2023-12-07,43292.6640625,103.54000091552734,2029.9000244140625,4585.58984375,4.129000186920166,13.0600004196167
2023-12-08,44166.6015625,104.01000213623047,1998.300048828125,4604.3701171875,4.244999885559082,12.350000381469727
2023-12-09,43725.984375,,,,,
2023-12-10,43779.69921875,,,,,
2023-12-11,41243.83203125,104.0999984741211,1978.0,4622.43994140625,4.238999843597412,12.630000114440918
2023-12-12,41450.22265625,103.87000274658203,1977.800048828125,4643.7001953125,4.205999851226807,12.069999694824219
2023-12-13,42890.7421875,102.87000274658203,1982.300048828125,4707.08984375,4.0329999923706055,12.1899995803833
2023-12-14,43023.97265625,101.95999908447266,2030.199951171875,4719.5498046875,3.930000066757202,12.479999542236328
2023-12-15,41929.7578125,102.55000305175781,2021.0999755859375,4719.18994140625,3.927999973297119,12.279999732971191
2023-12-16,42240.1171875,,,,,
2023-12-17,41364.6640625,,,,,
2023-12-18,42623.5390625,102.51000213623047,2026.300048828125,4740.56005859375,3.9539999961853027,12.5600004196167
2023-12-19,42270.52734375,102.16999816894531,2038.4000244140625,4768.3701171875,3.921999931335449,12.529999732971191
2023-12-20,43652.25,102.41000366210938,2034.5,4698.35009765625,3.877000093460083,13.670000076293945
2023-12-21,43869.15234375,101.83999633789062,2039.0999755859375,4746.75,3.8940000534057617,13.649999618530273
2023-12-22,43997.90234375,101.69999694824219,2057.10009765625,4754.6298828125,3.9010000228881836,13.029999732971191
2023-12-23,43739.54296875,,,,,
2023-12-24,43016.1171875,,,,,
2023-12-25,43613.140625,,,,,
2023-12-26,42520.40234375,101.47000122070312,2058.199951171875,4774.75,3.885999917984009,12.989999771118164
2023-12-27,43442.85546875,100.98999786376953,2081.89990234375,4781.580078125,3.7890000343322754,12.430000305175781
2023-12-28,42627.85546875,101.2300033569336,2073.89990234375,4783.35009765625,3.8499999046325684,12.470000267028809
2023-12-29,42099.40234375,101.33000183105469,2062.39990234375,4769.830078125,3.865999937057495,12.449999809265137
2023-12-30,42156.90234375,,,,,
2023-12-31,42265.1875,,,,,
2024-01-01,44167.33203125,,,,,
2024-01-02,44957.96875,102.19999694824219,2064.39990234375,4742.830078125,3.946000099182129,13.199999809265137
2024-01-03,42848.17578125,102.45999908447266,2034.199951171875,4704.81005859375,3.9070000648498535,14.039999961853027
2024-01-04,44179.921875,102.41999816894531,2042.300048828125,4688.68017578125,3.990999937057495,14.130000114440918
2024-01-05,44162.69140625,102.41000366210938,2042.4000244140625,4697.240234375,4.041999816894531,13.350000381469727
2024-01-06,43989.1953125,,,,,
2024-01-07,43943.09765625,,,,,
2024-01-08,46970.50390625,102.20999908447266,2026.5999755859375,4763.5400390625,4.001999855041504,13.079999923706055
2024-01-09,46139.73046875,102.56999969482422,2026.4000244140625,4756.5,4.019000053405762,12.760000228881836
2024-01-10,46627.77734375,102.36000061035156,2021.699951171875,4783.4501953125,4.03000020980835,12.6899995803833
2024-01-11,46368.5859375,102.29000091552734,2014.300048828125,4780.240234375,3.9769999980926514,12.4399995803833
2024-01-12,42853.16796875,102.4000015258789,2046.699951171875,4783.830078125,3.950000047683716,12.699999809265137
2024-01-13,42842.3828125,,,,,
2024-01-14,41796.26953125,,,,,
2024-01-15,42511.96875,,,,,
2024-01-16,43154.9453125,103.36000061035156,2026.0,4765.97998046875,4.065999984741211,13.84000015258789
2024-01-17,42742.65234375,103.44999694824219,2002.5999755859375,4739.2099609375,4.105999946594238,14.789999961853027
2024-01-18,41262.05859375,103.54000091552734,2018.5999755859375,4780.93994140625,4.144000053405762,14.130000114440918
2024-01-19,41618.40625,103.29000091552734,2026.5,4839.81005859375,4.145999908447266,13.300000190734863
2024-01-20,41665.5859375,,,,,
2024-01-21,41545.78515625,,,,,
2024-01-22,39507.3671875,103.33000183105469,2019.800048828125,4850.43017578125,4.093999862670898,13.1899995803833
2024-01-23,39845.55078125,103.62000274658203,2023.699951171875,4864.60009765625,4.142000198364258,12.550000190734863
2024-01-24,40077.07421875,103.23999786376953,2013.9000244140625,4868.5498046875,4.177999973297119,13.140000343322754
2024-01-25,39933.80859375,103.56999969482422,2016.9000244140625,4894.16015625,4.131999969482422,13.449999809265137
2024-01-26,41816.87109375,103.47000122070312,2016.800048828125,4890.97021484375,4.159999847412109,13.260000228881836
2024-01-27,42120.0546875,,,,,
2024-01-28,42035.59375,,,,,
2024-01-29,43288.24609375,103.61000061035156,2025.199951171875,4927.93017578125,4.091000080108643,13.600000381469727
2024-01-30,42952.609375,103.4000015258789,2031.5,4924.97021484375,4.059000015258789,13.3100004196167
2024-01-31,42582.60546875,103.2699966430664,2048.39990234375,4845.64990234375,3.9670000076293945,14.350000381469727
2024-02-01,43075.7734375,103.05000305175781,2053.0,4906.18994140625,3.86299991607666,13.880000114440918
2024-02-02,43185.859375,103.91999816894531,2036.0999755859375,4958.60986328125,4.0329999923706055,13.850000381469727
2024-02-03,42992.25,,,,,
2024-02-04,42583.58203125,,,,,
2024-02-05,42658.66796875,104.44999694824219,2025.699951171875,4942.81005859375,4.164000034332275,13.670000076293945
2024-02-06,43084.671875,104.18000030517578,2034.5,4954.22998046875,4.090000152587891,13.0600004196167
2024-02-07,44318.22265625,104.04000091552734,2035.199951171875,4995.06005859375,4.110000133514404,12.829999923706055
2024-02-08,45301.56640625,104.1500015258789,2032.199951171875,4997.91015625,4.170000076293945,12.789999961853027
2024-02-09,47147.19921875,104.08000183105469,2023.300048828125,5026.60986328125,4.186999797821045,12.930000305175781
2024-02-10,47771.27734375,,,,,
2024-02-11,48293.91796875,,,,,
2024-02-12,49958.22265625,104.16999816894531,2018.199951171875,5021.83984375,4.171999931335449,13.930000305175781
2024-02-13,49742.44140625,104.95999908447266,1992.9000244140625,4953.169921875,4.315999984741211,15.850000381469727
2024-02-14,51826.6953125,104.72000122070312,1990.300048828125,5000.6201171875,4.267000198364258,14.380000114440918
2024-02-15,51938.5546875,104.30000305175781,2002.0999755859375,5029.72998046875,4.239999771118164,14.010000228881836
2024-02-16,52160.203125,104.27999877929688,2011.5,5005.56982421875,4.295000076293945,14.239999771118164
2024-02-17,51662.99609375,,,,,
2024-02-18,52122.546875,,,,,
2024-02-19,51779.14453125,,,,,
2024-02-20,52284.875,104.08000183105469,2027.5,4975.509765625,4.275000095367432,15.420000076293945
2024-02-21,51839.1796875,104.01000213623047,2022.300048828125,4981.7998046875,4.324999809265137,15.34000015258789
2024-02-22,51304.97265625,103.95999908447266,2019.699951171875,5087.02978515625,4.327000141143799,14.539999961853027
2024-02-23,50731.94921875,103.94000244140625,2038.5999755859375,5088.7998046875,4.260000228881836,13.75
2024-02-24,51571.1015625,,,,,
2024-02-25,51733.23828125,,,,,
2024-02-26,54522.40234375,103.83000183105469,2028.5,5069.52978515625,4.298999786376953,13.739999771118164
2024-02-27,57085.37109375,103.83000183105469,2034.0,5078.18017578125,4.315000057220459,13.430000305175781
2024-02-28,62504.7890625,103.9800033569336,2033.0,5069.759765625,4.27400016784668,13.84000015258789
2024-02-29,61198.3828125,104.16000366210938,2045.699951171875,5096.27001953125,4.251999855041504,13.399999618530273
2024-03-01,62440.6328125,103.86000061035156,2086.89990234375,5137.080078125,4.179999828338623,13.109999656677246
2024-03-02,62029.84765625,,,,,
2024-03-03,63167.37109375,,,,,
2024-03-04,68330.4140625,103.83000183105469,2117.699951171875,5130.9501953125,4.218999862670898,13.489999771118164
2024-03-05,63801.19921875,103.80000305175781,2133.5,5078.64990234375,4.13700008392334,14.460000038146973
2024-03-06,66106.8046875,103.37000274658203,2150.300048828125,5104.759765625,4.104000091552734,14.5
2024-03-07,66925.484375,102.81999969482422,2158.0,5157.35986328125,4.0920000076293945,14.4399995803833
